Region,Year,Specimen,Organism,Antibiotic,Patient_setting,Value,Metric,Source,Source_URL
Telangana,2024,Blood,Escherichia coli,Ampicillin,IN/EME,88,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Ampicillin,ICU,100,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Amoxicillin-clavulanate,IN/EME,71,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Amoxicillin-clavulanate,ICU,76,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Piperacillin-tazobactam,IN/EME,32,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Piperacillin-tazobactam,ICU,26,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Ceftriaxone,IN/EME,76,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Ceftriaxone,ICU,80,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Cefotaxime,IN/EME,85,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Cefotaxime,ICU,81,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Cefepime,IN/EME,57,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Cefepime,ICU,59,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Ertapenem,IN/EME,9,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Ertapenem,ICU,14,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Imipenem,IN/EME,6,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Imipenem,ICU,11,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Meropenem,IN/EME,14,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Meropenem,ICU,6,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Amikacin,IN/EME,20,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Amikacin,ICU,20,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Gentamicin,IN/EME,26,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
Telangana,2024,Blood,Escherichia coli,Gentamicin,ICU,28,Resistance %,Telangana State AMR Surveillance Annual Report 2024,https://omc.ac.in/pdfs/TS%20Antimicrobial%20Surveillance%20Annual%20Report.pdf
