Specimen,PathogenName,AntibioticName,Min,Q1,Median,Q3,Max,CTAsCount,TotalBCIsWithAST
Bloodstream,Acinetobacter spp.,Amikacin,0.0,10.843373494,44.206773619,70.476190476,94.418604651,77,43102
Bloodstream,Acinetobacter spp.,Colistin,0.0,0.978606393,3.851851852,8.26317716,47.540983607,46,15553
Bloodstream,Acinetobacter spp.,Doripenem,14.814814815,33.703703704,48.794642857,59.007513066,63.262195122,4,994
Bloodstream,Acinetobacter spp.,Gentamicin,0.0,27.698863636,54.435288415,67.289229751,96.875,83,44185
Bloodstream,Acinetobacter spp.,Imipenem,0.0,31.325301205,65.330188679,81.818181818,100.0,73,42540
Bloodstream,Acinetobacter spp.,Meropenem,0.0,23.138297872,60.0,76.349710443,98.742138365,79,43431
Bloodstream,Acinetobacter spp.,Minocycline,0.251730648,3.416856492,7.106598985,21.621621622,81.818181818,13,12864
Bloodstream,Acinetobacter spp.,Tigecycline,1.058201058,5.912698413,11.872836272,15.705128205,88.764044944,12,2839
Bloodstream,Escherichia coli,Ampicillin,58.680174132,61.32728953,63.974404928,66.621520326,69.268635724,2,27423
Bloodstream,Escherichia coli,Cefepime,2.487046632,12.792466307,32.764505119,57.852034131,84.210526316,67,205243
Bloodstream,Escherichia coli,Cefotaxime,5.681818182,22.052495697,43.147991681,70.594396439,93.548387097,72,174845
Bloodstream,Escherichia coli,Ceftazidime,5.597014925,12.20163876,33.823529412,56.108597285,86.363636364,81,274367
Bloodstream,Escherichia coli,Ceftriaxone,5.263157895,24.239729682,50.947867299,72.222222222,89.743589744,77,159955
Bloodstream,Escherichia coli,Ciprofloxacin,10.154469486,29.017857143,43.193777584,64.212007505,91.666666667,92,296705
Bloodstream,Escherichia coli,Co-trimoxazole,23.384702389,47.058823529,58.766458766,74.76635514,100.0,61,72743
Bloodstream,Escherichia coli,Colistin,0.0,0.0,0.724637681,2.547770701,100.0,45,24955
