Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Amikacin",0,10.843373494,44.206773619,70.476190476,94.418604651,77,43102
"Bloodstream","Acinetobacter spp.","Colistin",0,0.978606393,3.851851852,8.26317716,47.540983607,46,15553
"Bloodstream","Acinetobacter spp.","Doripenem",14.814814815,33.703703704,48.794642857,59.007513066,63.262195122,4,994
"Bloodstream","Acinetobacter spp.","Gentamicin",0,27.698863636,54.435288415,67.289229751,96.875,83,44185
"Bloodstream","Acinetobacter spp.","Imipenem",0,31.325301205,65.330188679,81.818181818,100,73,42540
"Bloodstream","Acinetobacter spp.","Meropenem",0,23.138297872,60,76.349710443,98.742138365,79,43431
"Bloodstream","Acinetobacter spp.","Minocycline",0.251730648,3.416856492,7.106598985,21.621621622,81.818181818,13,12864
"Bloodstream","Acinetobacter spp.","Tigecycline",1.058201058,5.912698413,11.872836272,15.705128205,88.764044944,12,2839


Summary values that consider CTAs with testing coverage above the 75th percentile
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Amikacin",4.545454545,41.176636034,64.242424242,84.054516563,94.418604651,19,15134
"Bloodstream","Acinetobacter spp.","Colistin",0,1.246306538,4.976851852,9.698275862,38.709677419,12,2263
"Bloodstream","Acinetobacter spp.","Doripenem",63.262195122,63.262195122,63.262195122,63.262195122,63.262195122,1,656
"Bloodstream","Acinetobacter spp.","Gentamicin",4.347826087,36.697247706,57.432432432,82.5,95.391705069,21,17733
"Bloodstream","Acinetobacter spp.","Imipenem",4.545454545,58.702475647,75.158227848,85.637049246,96.037463977,18,18933
"Bloodstream","Acinetobacter spp.","Meropenem",4.347826087,55.309042809,72.407824576,86.583011583,98.507462687,20,18525
"Bloodstream","Acinetobacter spp.","Minocycline",0.251730648,1.178496903,2.105263158,11.86344239,21.621621622,3,1816
"Bloodstream","Acinetobacter spp.","Tigecycline",1.058201058,4.100529101,7.142857143,8.035714286,8.928571429,3,651


Data for boxplots
"Specimen","PathogenName","AntibioticName","Iso3","CountryTerritoryArea","WHORegionName","InterpretableAST","Resistant","ResistancePercentage"
"Bloodstream","Acinetobacter spp.","Amikacin","ARE","United Arab Emirates","Eastern Mediterranean Region",83,9,10.843373494
"Bloodstream","Acinetobacter spp.","Colistin","ARE","United Arab Emirates","Eastern Mediterranean Region",23,3,13.043478261
"Bloodstream","Acinetobacter spp.","Gentamicin","ARE","United Arab Emirates","Eastern Mediterranean Region",147,16,10.884353741
"Bloodstream","Acinetobacter spp.","Imipenem","ARE","United Arab Emirates","Eastern Mediterranean Region",135,15,11.111111111
"Bloodstream","Acinetobacter spp.","Meropenem","ARE","United Arab Emirates","Eastern Mediterranean Region",144,15,10.416666667
"Bloodstream","Acinetobacter spp.","Minocycline","ARE","United Arab Emirates","Eastern Mediterranean Region",28,1,3.571428571
"Bloodstream","Acinetobacter spp.","Amikacin","ARG","Argentina","Region of the Americas",561,248,44.206773619
"Bloodstream","Acinetobacter spp.","Colistin","ARG","Argentina","Region of the Americas",164,8,4.87804878
"Bloodstream","Acinetobacter spp.","Gentamicin","ARG","Argentina","Region of the Americas",547,352,64.351005484
"Bloodstream","Acinetobacter spp.","Imipenem","ARG","Argentina","Region of the Americas",560,406,72.5
"Bloodstream","Acinetobacter spp.","Meropenem","ARG","Argentina","Region of the Americas",560,404,72.142857143
"Bloodstream","Acinetobacter spp.","Minocycline","ARG","Argentina","Region of the Americas",421,95,22.565320665
"Bloodstream","Acinetobacter spp.","Amikacin","AUS","Australia","Western Pacific Region",112,2,1.785714286
"Bloodstream","Acinetobacter spp.","Colistin","AUS","Australia","Western Pacific Region",13,1,7.692307692
"Bloodstream","Acinetobacter spp.","Gentamicin","AUS","Australia","Western Pacific Region",128,1,0.78125
"Bloodstream","Acinetobacter spp.","Imipenem","AUS","Australia","Western Pacific Region",13,0,0
"Bloodstream","Acinetobacter spp.","Meropenem","AUS","Australia","Western Pacific Region",125,1,0.8
"Bloodstream","Acinetobacter spp.","Amikacin","AUT","Austria","European Region",74,4,5.405405405
"Bloodstream","Acinetobacter spp.","Gentamicin","AUT","Austria","European Region",45,4,8.888888889
"Bloodstream","Acinetobacter spp.","Imipenem","AUT","Austria","European Region",34,6,17.647058824
"Bloodstream","Acinetobacter spp.","Meropenem","AUT","Austria","European Region",61,1,1.639344262
"Bloodstream","Acinetobacter spp.","Amikacin","BEL","Belgium","European Region",135,8,5.925925926
