Isolate ID,Realm,Phylum,Class,Order,Family,Genus,Species,ICTV_ID,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source
VMR1028127,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Chiyouviridae,Wargodvirus,Wargodvirus xiongnu,ICTV202420188,E,Bathyarchaeia bifangarchaeales chiyouvirus 1,BbCV1,,PP467602,Complete genome,dsDNA,archaea
VMR1000002,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus beppuense,ICTV201908643,E,Sulfolobus filamentous virus 1,SFV1,S48,MH447526,Complete genome,dsDNA,archaea
VMR1000001,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus umijigokuense,ICTV201908644,E,Sulfolobales Beppu filamentous virus 2,SBFV2,clone B,MK064563,Coding-complete genome,dsDNA,archaea
VMR1000003,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus acidiani,ICTV20094000,E,Acidianus filamentous virus 3,AFV3,,AM087120,Complete genome,dsDNA,archaea
VMR1000008,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus hveragerdiense,ICTV20041365,E,Sulfolobus islandicus filamentous virus,SIFV,,AF440571,Complete genome,dsDNA,archaea
VMR1000005,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pezzuloense,ICTV20094002,E,Acidianus filamentous virus 7,AFV7,,AM087122,Complete genome,dsDNA,archaea
VMR1000004,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pozzuoliense,ICTV20094001,E,Acidianus filamentous virus 6,AFV6,,AM087121,Complete genome,dsDNA,archaea
VMR1000006,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus puteoliense,ICTV20094003,E,Acidianus filamentous virus 8,AFV8,,AM087123,Complete genome,dsDNA,archaea
VMR1000007,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus uzonense,ICTV20094004,E,Acidianus filamentous virus 9,AFV9,,EU545650,Complete genome,dsDNA,archaea
VMR1000010,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus beppuense,ICTV201908645,E,Sulfolobales Beppu filamentous virus 3,SBFV3,clone C,MK064564,Coding-complete genome,dsDNA,archaea
VMR1000009,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus pozzuoliense,ICTV20084110,E,Acidianus filamentous virus 2,AFV2,,AJ854042,Complete genome,dsDNA,archaea
VMR1000011,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Azorudivirus,Azorudivirus furnasense,ICTV202011720,E,Stygiolobus rod-shaped virus,SRV,,FM164764,Coding-complete genome,dsDNA,archaea
VMR1000013,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus acidiani,ICTV202011717,E,Acidianus rod-shaped virus 3,ARV3,,MN876842,Coding-complete genome,dsDNA,archaea
VMR1000014,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus metallosphaerae,ICTV202011718,E,Metallosphaera rod-shaped virus 1,MRV1,,MN876843,Coding-complete genome,dsDNA,archaea
VMR1000012,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus pozzuoliense,ICTV202011716,E,Acidianus rod-shaped virus 2,ARV2,,KP282675,Coding-complete genome,dsDNA,archaea
VMR1000015,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus saccharolobi,ICTV202011719,E,Saccharolobus solfataricus rod-shaped virus 1,SSRV1,,MN876841,Coding-complete genome,dsDNA,archaea
VMR1000018,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus gunnuhverense,ICTV202011709,E,Sulfolobus islandicus rod-shaped virus 3,SIRV3,,KX712143,Coding-complete genome,dsDNA,archaea
VMR1000017,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus hveragerdiense,ICTV19991653,E,Sulfolobus islandicus rod-shaped virus 2,SIRV2,,AJ344259,Complete genome,dsDNA,archaea
VMR1000016,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus kverkfjoellense,ICTV19972219,E,Sulfolobus islandicus rod-shaped virus 1,SIRV1,,AJ414696,Complete genome,dsDNA,archaea
VMR1000019,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus,Itarudivirus pozzuoliense,ICTV20084855,E,Acidianus rod-shaped virus 1,ARV1,,AJ875026,Coding-complete genome,dsDNA,archaea
VMR1000020,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Japarudivirus,Japarudivirus beppuense,ICTV202011721,E,Sulfolobales Beppu rod-shaped virus 1,SBRV1,,MK064565,Coding-complete genome,dsDNA,archaea
VMR1000021,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Mexirudivirus,Mexirudivirus azufresense,ICTV202011722,E,Sulfolobales Mexican rod-shaped virus 1,SMRV1,,JX944686,Coding-complete genome,dsDNA,archaea
VMR1000022,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus acidum,ICTV202011714,E,Sulfolobus islandicus rod-shaped virus 10,SIRV10,,KY744230,Coding-complete genome,dsDNA,archaea
VMR1000027,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus aestus,ICTV202011713,E,Sulfolobus islandicus rod-shaped virus 9,SIRV9,,KY744228,Coding-complete genome,dsDNA,archaea
VMR1000026,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus caloris,ICTV202011712,E,Sulfolobus islandicus rod-shaped virus 8,SIRV8,,KY744229,Coding-complete genome,dsDNA,archaea
VMR1000023,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus dryadis,ICTV202011715,E,Sulfolobus islandicus rod-shaped virus 11,SIRV11,,KY744234,Coding-complete genome,dsDNA,archaea
VMR1000025,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus nymphense,ICTV202011711,E,Sulfolobus islandicus rod-shaped virus 5,SIRV5,,KY744233,Coding-complete genome,dsDNA,archaea
VMR1000024,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus yellowstonense,ICTV202011710,E,Sulfolobus islandicus rod-shaped virus 4,SIRV4,,KY744231,Coding-complete genome,dsDNA,archaea
VMR1000028,Adnaviria,Taleaviricota,Tokiviricetes,Ligamenvirales,Ungulaviridae,Captovirus,Captovirus yellowstonense,ICTV20041366,E,Acidianus filamentous virus 1,AFV1,,AJ567472,Complete genome,dsDNA,archaea
VMR1030433,Adnaviria,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus juandefucaense,ICTV202522027,E,archaeal virus JdFR077,JdFR077,,PQ111746,Complete genome,dsDNA,archaea
VMR1000029,Adnaviria,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus pescaderoense,ICTV202214297,E,Methanophagales virus PBV300,PBV300,,OP413840,Complete genome,dsDNA,archaea
VMR1000030,Adnaviria,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus pozzuoliense,ICTV20165504,E,Pyrobaculum filamentous virus 1,PFV1,,KU307456,Complete genome,dsDNA,archaea
VMR1000031,Adnaviria,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus puteoliense,ICTV202012054,E,Pyrobaculum filamentous virus 2,PFV2,,MN876844,Complete genome,dsDNA,archaea
