model_id,model_name,model_type,model_description,ARO_accession,ARO_id,ARO_name,CARD_short_name,ARO_description,ARO_category
2,CblA-1,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002999,39433,CblA-1,CblA-1,CblA-1 beta-lactamase is a class A beta-lactamase found in Bacteroides uniformis that is species-specific.,"{'39432': {'category_aro_accession': '3002998', 'category_aro_cvterm_id': '39432', 'category_aro_name': 'CblA beta-lactamase', 'category_aro_description': 'CblA beta-lactamases are class A beta-lactamases that confer resistance to cephalosporins.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
4,SHV-52,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001109,37489,SHV-52,SHV-52,SHV-52 is a beta-lactamase that has been found in clinical isolates.,"{'36024': {'category_aro_accession': '3000015', 'category_aro_cvterm_id': '36024', 'category_aro_name': 'SHV beta-lactamase', 'category_aro_description': 'SHV-1 shares 68 percent of its amino acids with TEM-1 and has a similar overall structure. The SHV-1 beta-lactamase is most commonly found in K. pneumoniae and is responsible for up to 20% of the plasmid-mediated ampicillin resistance in this species. ESBLs in this family also have amino acid changes around the active site, most commonly at positions 238 or 238 and 240. More than 60 SHV varieties are known.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
5,dfrF,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002867,39301,dfrF,dfrF,dfrF is a chromosome-encoded dihydrofolate reductase found in Streptococcus pyogenes.,"{'37617': {'category_aro_accession': '3001218', 'category_aro_cvterm_id': '37617', 'category_aro_name': 'trimethoprim resistant dihydrofolate reductase dfr', 'category_aro_description': 'Alternative dihydropteroate synthase dfr present on plasmids produces alternate proteins that are less sensitive to trimethoprim from inhibiting its role in folate synthesis, thus conferring trimethoprim resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '36310': {'category_aro_accession': '3000171', 'category_aro_cvterm_id': '36310', 'category_aro_name': 'diaminopyrimidine antibiotic', 'category_aro_description': 'Diaminopyrimidines are a class of organic compounds containing a pyrimidine ring substituted by two amine groups.  They are inhibitors of dihydrofolate reductase, an enzyme critical for DNA synthesis.', 'category_aro_class_name': 'Drug Class'}, '35998': {'category_aro_accession': '0001002', 'category_aro_cvterm_id': '35998', 'category_aro_name': 'antibiotic target replacement', 'category_aro_description': 'Replacement or substitution of antibiotic action target, which process will result in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
7,CTX-M-130,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001989,38389,CTX-M-130,CTX-M-130,"CTX-M-130 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'36025': {'category_aro_accession': '3000016', 'category_aro_cvterm_id': '36025', 'category_aro_name': 'CTX-M beta-lactamase', 'category_aro_description': 'These enzymes were named for their greater activity against cefotaxime than other oxyimino-beta-lactam substrates (eg, ceftazidime, ceftriaxone, or cefepime). Rather than arising by mutation, they represent examples of plasmid acquisition of beta-lactamase genes normally found on the chromosome of Kluyvera species, a group of rarely pathogenic commensal organisms. These enzymes are not very closely related to TEM or SHV beta-lactamases in that they show only approximately 40% identity with these two commonly isolated beta-lactamases. Despite their name, a few are more active on ceftazidime than cefotaxime.  CTX-M-15 was recently found in bacterial strains expressing NDM-1 and were responsible for resistance to aztreonam.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '46264': {'category_aro_accession': '3007495', 'category_aro_cvterm_id': '46264', 'category_aro_name': 'azole antibiotic', 'category_aro_description': 'Azoles are a group of antibiotics, particularly antifungals, that target the cytochrome P450 enzyme sterol 14alpha-demethylase, which converts lanosterol to ergosterol. They are typically fungistatic in yeasts and fungicidal in molds. The two main groups of azoles are imidazoles and triazoles.', 'category_aro_class_name': 'Drug Class'}, '46269': {'category_aro_accession': '3007500', 'category_aro_cvterm_id': '46269', 'category_aro_name': 'imidazole antibiotic', 'category_aro_description': 'Imidazoles are a group of antibiotics, particularly antifungals, derived from azoles. Imidazoles include imidazole derivatives clotrimazole, ketoconazole, miconazole, econazole and oxiconazole.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
8,NDM-6,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002356,38756,NDM-6,NDM-6,NDM-6 is a beta-lactamase found in the Enterobacteriaceae family.,"{'36196': {'category_aro_accession': '3000057', 'category_aro_cvterm_id': '36196', 'category_aro_name': 'NDM beta-lactamase', 'category_aro_description': 'NDM beta-lactamases or New Delhi metallo-beta-lactamases are class B beta-lactamases that confer resistance to a broad range of antibiotics including carbapenems, cephalosporins and penicillins.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
9,ACT-35,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001855,38255,ACT-35,ACT-35,"ACT-35 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'36211': {'category_aro_accession': '3000072', 'category_aro_cvterm_id': '36211', 'category_aro_name': 'ACT beta-lactamase', 'category_aro_description': 'ACT beta-lactamases, also known as AmpC beta-lactamases, are cephalosporinases that cannot be inhibited by clavulanate. These enzymes are encoded by genes located on the chromosome and can be induced by the presence of beta-lactam antibiotics. However recently, these genes have been found on plasmids and expressed at high constitutive levels in Escherichia coli and Klebsiella pneumoniae.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
10,CARB-5,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002244,38644,CARB-5,CARB-5,CARB-5 is a beta-lactamase found in Acinetobacter calcoaceticus.,"{'36230': {'category_aro_accession': '3000091', 'category_aro_cvterm_id': '36230', 'category_aro_name': 'CARB beta-lactamase', 'category_aro_description': 'CARB beta-lactamases are class A lactamases that can hydrolyze carbenicillin. Many of the PSE beta-lactamases have been renamed as CARB-lactamases with the notable exception of PSE-2 which is now OXA-10.', 'category_aro_class_name': 'AMR Gene Family'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
11,Erm(34),protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3000600,36739,Erm(34),Erm(34),ErmD confers MLSb phenotype.,"{'36699': {'category_aro_accession': '3000560', 'category_aro_cvterm_id': '36699', 'category_aro_name': 'Erm-like 23S rRNA methyltransferase', 'category_aro_description': 'Erm proteins are part of the RNA methyltransferase family and methylate A2058 (E. coli numbering) of the 23S ribosomal RNA conferring degrees of resistance to Macrolides, Lincosamides and Streptogramin. This is called the MLS phenotype.', 'category_aro_class_name': 'AMR Gene Family'}, '35919': {'category_aro_accession': '0000000', 'category_aro_cvterm_id': '35919', 'category_aro_name': 'macrolide antibiotic', 'category_aro_description': 'Macrolides are a group of drugs (typically antibiotics) that have a large macrocyclic lactone ring of 12-16 carbons to which one or more deoxy sugars, usually cladinose and desosamine, may be attached. Macrolides bind to the 50S-subunit of bacterial ribosomes, inhibiting the synthesis of vital proteins.', 'category_aro_class_name': 'Drug Class'}, '35936': {'category_aro_accession': '0000017', 'category_aro_cvterm_id': '35936', 'category_aro_name': 'lincosamide antibiotic', 'category_aro_description': 'Lincosamides (e.g. lincomycin, clindamycin) are a class of drugs which bind to the 23s portion of the 50S subunit of bacterial ribosomes. This interaction inhibits early elongation of peptide chains by inhibiting the transpeptidase reaction, acting similarly to macrolides.', 'category_aro_class_name': 'Drug Class'}, '35945': {'category_aro_accession': '0000026', 'category_aro_cvterm_id': '35945', 'category_aro_name': 'streptogramin antibiotic', 'category_aro_description': 'Streptogramin antibiotics are natural products produced by various members of the Streptomyces genus. These antibiotics bind to the P site of the 50S subunit of bacterial ribosomes to inhibit protein synthesis. The family consists of two subgroups, type A and type B, which are simultaneously produced by the same bacterial species in a ratio of roughly 70:30.', 'category_aro_class_name': 'Drug Class'}, '35997': {'category_aro_accession': '0001001', 'category_aro_cvterm_id': '35997', 'category_aro_name': 'antibiotic target alteration', 'category_aro_description': 'Mutational alteration or enzymatic modification of antibiotic target which results in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
12,TEM-126,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3000988,37368,TEM-126,TEM-126,TEM-126 is an extended-spectrum beta-lactamase found in E. coli.,"{'36023': {'category_aro_accession': '3000014', 'category_aro_cvterm_id': '36023', 'category_aro_name': 'TEM beta-lactamase', 'category_aro_description': 'TEM-1 is the most commonly-encountered beta-lactamase in gram-negative bacteria. Up to 90% of ampicillin resistance in E. coli is due to the production of TEM-1. Also responsible for the ampicillin and penicillin resistance that is seen in H. influenzae and N. gonorrhoeae in increasing numbers. Although TEM-type beta-lactamases are most often found in E. coli and K. pneumoniae, they are also found in other species of gram-negative bacteria with increasing frequency. The amino acid substitutions responsible for the ESBL phenotype cluster around the active site of the enzyme and change its configuration, allowing access to oxyimino-beta-lactam substrates. Opening the active site to beta-lactam substrates also typically enhances the susceptibility of the enzyme to b-lactamase inhibitors, such as clavulanic acid.  Although the inhibitor-resistant beta-lactamases are not ESBLs, they are often discussed with ESBLs because they are also derivatives of the classical TEM- or SHV-type enzymes. These enzymes were at first given the designation IRT for inhibitor-resistant TEM beta-lactamase; however, all have subsequently been renamed with numerical TEM designations. There are at least 19 distinct inhibitor-resistant TEM beta-lactamases. Inhibitor-resistant TEM beta-lactamases have been found mainly in clinical isolates of E. coli, but also some strains of K. pneumoniae, Klebsiella oxytoca, P. mirabilis, and Citrobacter freundii. Although the inhibitor-resistant TEM variants are resistant to inhibition by clavulanic acid and sulbactam, thereby showing clinical resistance to the beta-lactam-lactamase inhibitor combinations of amoxicillin-clavulanate (Co-amoxiclav), ticarcillin-clavulanate, and ampicillin/sulbactam, they normally remain susceptible to inhibition by tazobactam and subsequently the combination of piperacillin/tazobactam, although resistance has been described.', 'category_aro_class_name': 'AMR Gene Family'}, '35923': {'category_aro_accession': '0000004', 'category_aro_cvterm_id': '35923', 'category_aro_name': 'monobactam', 'category_aro_description': 'Monobactams are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Unlike penams and cephems, monobactams do not have any ring fused to its four-member lactam structure. Monobactam antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
13,LRA-12,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002511,38911,LRA-12,LRA-12,LRA-12 is a beta-lactamase isolated from soil samples in Alaska.,"{'41390': {'category_aro_accession': '3004226', 'category_aro_cvterm_id': '41390', 'category_aro_name': 'subclass B3 LRA beta-lactamase', 'category_aro_description': 'Beta-lactamases that are part of the LRA gene family and are classified as B3 (metallo-) beta-lactamases.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
