accession,virus_name,virus_tax_id,host_name,host_tax_id,completeness,length,gene_count,protein_count,is_annotated,is_lab_host,release_date,update_date,source_database
Z78096.1,Escherichia virus SV14,47488,Escherichia coli,562,PARTIAL,1606,1,1,True,True,1996-08-09T00:00:00Z,2016-07-23T00:00:00Z,GenBank
Z78095.1,Enterobacteria phage T6,10666,Escherichia coli,562,PARTIAL,1506,1,1,True,True,1996-08-09T00:00:00Z,2016-07-23T00:00:00Z,GenBank
Z78094.1,Enterobacteria phage RB42,50947,Escherichia coli,562,PARTIAL,625,1,,True,True,1996-08-09T00:00:00Z,2006-11-14T00:00:00Z,GenBank
Z35638.1,Escherichia phage phiX174,2886930,Escherichia coli,562,PARTIAL,3164,2,2,True,True,1994-08-02T00:00:00Z,2005-04-18T00:00:00Z,GenBank
Y13611.1,Enterobacteria phage RB30,45102,Escherichia coli,562,PARTIAL,1790,3,3,True,True,1997-08-05T00:00:00Z,2016-07-24T00:00:00Z,GenBank
Y10025.2,Escherichia virus K5,56637,Escherichia coli,562,PARTIAL,2863,2,2,True,,1997-03-30T00:00:00Z,2016-07-25T00:00:00Z,GenBank
X98695.1,Tequatrovirus T4,10665,Escherichia coli,562,PARTIAL,1467,2,2,True,True,1996-07-08T00:00:00Z,1999-06-09T00:00:00Z,GenBank
X95633.1,Salmonella phage IKe,10867,Escherichia coli,562,PARTIAL,84,1,1,True,True,1996-02-23T00:00:00Z,2016-07-14T00:00:00Z,GenBank
X07916.1,Tequatrovirus T4,10665,Escherichia coli,562,PARTIAL,432,1,1,True,True,1988-07-15T00:00:00Z,1993-09-12T00:00:00Z,GenBank
X00615.1,Enterobacteria phage K3,10674,Escherichia coli,562,PARTIAL,199,1,1,True,True,1985-06-13T00:00:00Z,2016-07-26T00:00:00Z,GenBank
X00613.1,Enterobacteria phage K3,10674,Escherichia coli,562,PARTIAL,162,1,1,True,True,1985-06-13T00:00:00Z,2016-07-26T00:00:00Z,GenBank
U91583.1,Escherichia phage N15,1604876,Escherichia coli,562,PARTIAL,1108,1,1,True,True,1997-04-12T00:00:00Z,2016-07-26T00:00:00Z,GenBank
U63086.1,Escherichia phage N15,1604876,Escherichia coli,562,PARTIAL,4055,2,2,True,True,1996-08-10T00:00:00Z,2003-03-26T00:00:00Z,GenBank
U63085.1,Escherichia phage N15,1604876,Escherichia coli,562,PARTIAL,5353,1,1,True,True,1996-08-10T00:00:00Z,2005-10-12T00:00:00Z,GenBank
U45242.1,Escherichia phage N15,1604876,Escherichia coli,562,PARTIAL,2795,7,7,True,True,1996-02-14T00:00:00Z,1997-10-24T00:00:00Z,GenBank
U28834.1,Escherichia phage N15,1604876,Escherichia coli,562,PARTIAL,728,1,1,True,True,1995-07-16T00:00:00Z,1996-08-05T00:00:00Z,GenBank
