Protein_id	Aligned_Protein_in_CARD	Phage_id	Phage_Source
YP_009293523.1	gb|WP_102607452.1|ARO:3005615|CTX-M-192	NC_031129.1	RefSeq
YP_009914485.1	gb|ADA79630.1|ARO:3001037|TEM-171	NC_050152.1	RefSeq
YP_009908229.1	gb|CAA23899.1|ARO:3002683|catI	NC_049922.1	RefSeq
YP_009168137.1	gb|CAA23899.1|ARO:3002683|catI	NC_027984.1	RefSeq
YP_338223.1	gb|AAP27834.1|ARO:3005100|FosB2	NC_007458.1	RefSeq
YP_009226826.1	gb|AAA88548.1|ARO:3002597|AAC6_Ie_APH2_Ia	NC_029119.1	RefSeq
YP_009226830.1	gb|AAO04716.1|ARO:3002865|dfrC	NC_029119.1	RefSeq
YP_009909475.1	gb|CAA77936.1|ARO:3004039|Ecol_emrE	NC_049946.1	RefSeq
YP_009908474.1	gb|CAA23899.1|ARO:3002683|catI	NC_049925.1	RefSeq
YP_009624869.1	gb|AAD37413.1|ARO:3001060|SHV-2	NC_042128.1	RefSeq
